Timestamp,Motion,Device
1610172108,0,c0:98:e5:42:01:06
1610174293,1,c0:98:e5:42:01:06
1610174298,0,c0:98:e5:42:01:06
1610174398,1,c0:98:e5:42:01:06
1610174409,0,c0:98:e5:42:01:06
1610174413,1,c0:98:e5:42:01:06
1610174445,0,c0:98:e5:42:01:06
1610174450,1,c0:98:e5:42:01:06
1610174461,0,c0:98:e5:42:01:06
1610174462,1,c0:98:e5:42:01:06
1610174468,0,c0:98:e5:42:01:06
1610174584,1,c0:98:e5:42:01:06
1610174589,0,c0:98:e5:42:01:06
1610174724,1,c0:98:e5:42:01:06
1610174730,0,c0:98:e5:42:01:06
1610174730,1,c0:98:e5:42:01:06
1610174741,0,c0:98:e5:42:01:06
1610174742,1,c0:98:e5:42:01:06
1610174746,0,c0:98:e5:42:01:06
1610174749,1,c0:98:e5:42:01:06
1610174756,0,c0:98:e5:42:01:06
1610174757,1,c0:98:e5:42:01:06
1610174761,0,c0:98:e5:42:01:06
1610175413,1,c0:98:e5:42:01:06
1610175419,0,c0:98:e5:42:01:06
1610175482,1,c0:98:e5:42:01:06
1610175487,0,c0:98:e5:42:01:06
1610175493,1,c0:98:e5:42:01:06
1610175499,0,c0:98:e5:42:01:06
1610175499,1,c0:98:e5:42:01:06
1610175510,0,c0:98:e5:42:01:06
1610175559,1,c0:98:e5:42:01:06
1610175567,0,c0:98:e5:42:01:06
1610175568,1,c0:98:e5:42:01:06
1610175578,0,c0:98:e5:42:01:06
1610177825,1,c0:98:e5:42:01:06
1610177829,0,c0:98:e5:42:01:06
1610177835,1,c0:98:e5:42:01:06
1610177839,0,c0:98:e5:42:01:06
1610177901,1,c0:98:e5:42:01:06
1610177905,0,c0:98:e5:42:01:06
1610177914,1,c0:98:e5:42:01:06
1610177918,0,c0:98:e5:42:01:06
1610177922,1,c0:98:e5:42:01:06
1610177928,0,c0:98:e5:42:01:06
1610178948,1,c0:98:e5:42:01:06
1610178966,0,c0:98:e5:42:01:06
1610178966,1,c0:98:e5:42:01:06
1610178975,0,c0:98:e5:42:01:06
1610178978,1,c0:98:e5:42:01:06
1610178987,0,c0:98:e5:42:01:06
1610178991,1,c0:98:e5:42:01:06
1610178995,0,c0:98:e5:42:01:06
1610179098,1,c0:98:e5:42:01:06
1610179107,0,c0:98:e5:42:01:06
1610179108,1,c0:98:e5:42:01:06
1610179129,0,c0:98:e5:42:01:06
1610179146,1,c0:98:e5:42:01:06
1610179160,0,c0:98:e5:42:01:06
1610179207,1,c0:98:e5:42:01:06
1610179226,0,c0:98:e5:42:01:06
1610179228,1,c0:98:e5:42:01:06
1610179242,0,c0:98:e5:42:01:06
1610179263,1,c0:98:e5:42:01:06
1610179266,1,c0:98:e5:42:01:06
1610179266,0,c0:98:e5:42:01:06
1610179271,0,c0:98:e5:42:01:06
1610179272,1,c0:98:e5:42:01:06
1610179280,0,c0:98:e5:42:01:06
1610179281,1,c0:98:e5:42:01:06
1610179290,0,c0:98:e5:42:01:06
1610179290,1,c0:98:e5:42:01:06
1610179295,0,c0:98:e5:42:01:06
1610179324,1,c0:98:e5:42:01:06
1610179341,1,c0:98:e5:42:01:06
1610179341,0,c0:98:e5:42:01:06
1610179357,0,c0:98:e5:42:01:06
1610179358,1,c0:98:e5:42:01:06
1610179362,0,c0:98:e5:42:01:06
1610179383,1,c0:98:e5:42:01:06
1610179387,0,c0:98:e5:42:01:06
1610179390,1,c0:98:e5:42:01:06
1610179398,0,c0:98:e5:42:01:06
1610179445,1,c0:98:e5:42:01:06
1610179456,0,c0:98:e5:42:01:06
1610179488,1,c0:98:e5:42:01:06
1610179492,0,c0:98:e5:42:01:06
1610179509,1,c0:98:e5:42:01:06
1610179522,0,c0:98:e5:42:01:06
1610179523,1,c0:98:e5:42:01:06
1610179526,0,c0:98:e5:42:01:06
1610179530,1,c0:98:e5:42:01:06
1610179534,0,c0:98:e5:42:01:06
1610179542,1,c0:98:e5:42:01:06
1610179546,0,c0:98:e5:42:01:06
1610179551,1,c0:98:e5:42:01:06
1610179554,0,c0:98:e5:42:01:06
1610179590,1,c0:98:e5:42:01:06
1610179595,0,c0:98:e5:42:01:06
1610179606,1,c0:98:e5:42:01:06
1610179621,0,c0:98:e5:42:01:06
1610179631,1,c0:98:e5:42:01:06
1610179635,0,c0:98:e5:42:01:06
1610179638,1,c0:98:e5:42:01:06
1610179642,0,c0:98:e5:42:01:06
1610179645,1,c0:98:e5:42:01:06
1610179650,0,c0:98:e5:42:01:06
1610179659,1,c0:98:e5:42:01:06
1610179665,0,c0:98:e5:42:01:06
1610179669,1,c0:98:e5:42:01:06
1610179676,0,c0:98:e5:42:01:06
1610179702,1,c0:98:e5:42:01:06
1610179705,0,c0:98:e5:42:01:06
1610179706,1,c0:98:e5:42:01:06
1610179710,0,c0:98:e5:42:01:06
1610179794,1,c0:98:e5:42:01:06
1610179806,0,c0:98:e5:42:01:06
1610179815,1,c0:98:e5:42:01:06
1610179824,0,c0:98:e5:42:01:06
1610179826,1,c0:98:e5:42:01:06
1610179829,0,c0:98:e5:42:01:06
1610179836,1,c0:98:e5:42:01:06
1610179839,0,c0:98:e5:42:01:06
1610179858,1,c0:98:e5:42:01:06
1610179862,0,c0:98:e5:42:01:06
1610179880,1,c0:98:e5:42:01:06
1610179883,0,c0:98:e5:42:01:06
1610179886,1,c0:98:e5:42:01:06
1610179891,0,c0:98:e5:42:01:06
1610179936,1,c0:98:e5:42:01:06
1610179940,0,c0:98:e5:42:01:06
1610179965,1,c0:98:e5:42:01:06
1610179968,0,c0:98:e5:42:01:06
1610179997,1,c0:98:e5:42:01:06
1610180006,0,c0:98:e5:42:01:06
1610180018,1,c0:98:e5:42:01:06
1610180023,0,c0:98:e5:42:01:06
1610180025,1,c0:98:e5:42:01:06
1610180040,0,c0:98:e5:42:01:06
1610180041,1,c0:98:e5:42:01:06
1610180048,0,c0:98:e5:42:01:06
1610180049,1,c0:98:e5:42:01:06
1610180053,0,c0:98:e5:42:01:06
1610180065,1,c0:98:e5:42:01:06
1610180068,0,c0:98:e5:42:01:06
1610180069,1,c0:98:e5:42:01:06
1610180089,0,c0:98:e5:42:01:06
1610180093,1,c0:98:e5:42:01:06
1610180097,0,c0:98:e5:42:01:06
1610180101,1,c0:98:e5:42:01:06
1610180106,0,c0:98:e5:42:01:06
1610180114,1,c0:98:e5:42:01:06
1610180118,0,c0:98:e5:42:01:06
1610180146,1,c0:98:e5:42:01:06
1610180149,0,c0:98:e5:42:01:06
1610180150,1,c0:98:e5:42:01:06
1610180154,0,c0:98:e5:42:01:06
1610180160,1,c0:98:e5:42:01:06
1610180162,0,c0:98:e5:42:01:06
1610180163,1,c0:98:e5:42:01:06
1610180166,0,c0:98:e5:42:01:06
1610180167,1,c0:98:e5:42:01:06
1610180171,0,c0:98:e5:42:01:06
1610180189,1,c0:98:e5:42:01:06
1610180194,0,c0:98:e5:42:01:06
1610180196,1,c0:98:e5:42:01:06
1610180200,0,c0:98:e5:42:01:06
1610180203,1,c0:98:e5:42:01:06
1610180214,0,c0:98:e5:42:01:06
1610180442,1,c0:98:e5:42:01:06
1610180450,0,c0:98:e5:42:01:06
1610180455,1,c0:98:e5:42:01:06
1610180461,0,c0:98:e5:42:01:06
1610180717,1,c0:98:e5:42:01:06
1610180723,0,c0:98:e5:42:01:06
1610180724,1,c0:98:e5:42:01:06
1610180741,0,c0:98:e5:42:01:06
1610180742,1,c0:98:e5:42:01:06
1610180753,0,c0:98:e5:42:01:06
1610182408,1,c0:98:e5:42:01:06
1610182412,0,c0:98:e5:42:01:06
1610182675,1,c0:98:e5:42:01:06
1610182682,0,c0:98:e5:42:01:06
1610182688,1,c0:98:e5:42:01:06
1610182693,0,c0:98:e5:42:01:06
1610182695,1,c0:98:e5:42:01:06
1610182698,0,c0:98:e5:42:01:06
1610183549,1,c0:98:e5:42:01:06
1610183554,0,c0:98:e5:42:01:06
1610184577,1,c0:98:e5:42:01:06
1610184581,0,c0:98:e5:42:01:06
1610186955,1,c0:98:e5:42:01:06
1610186963,0,c0:98:e5:42:01:06
1610186963,1,c0:98:e5:42:01:06
1610186966,0,c0:98:e5:42:01:06
1610186967,1,c0:98:e5:42:01:06
1610186973,0,c0:98:e5:42:01:06
1610186977,1,c0:98:e5:42:01:06
1610186982,0,c0:98:e5:42:01:06
1610186986,1,c0:98:e5:42:01:06
1610186995,0,c0:98:e5:42:01:06
1610187006,1,c0:98:e5:42:01:06
1610187012,0,c0:98:e5:42:01:06
1610187013,1,c0:98:e5:42:01:06
1610187027,0,c0:98:e5:42:01:06
1610187029,1,c0:98:e5:42:01:06
1610187034,0,c0:98:e5:42:01:06
1610187085,1,c0:98:e5:42:01:06
1610187091,0,c0:98:e5:42:01:06
1610187093,1,c0:98:e5:42:01:06
1610187098,0,c0:98:e5:42:01:06
1610187103,1,c0:98:e5:42:01:06
1610187118,0,c0:98:e5:42:01:06
1610187178,1,c0:98:e5:42:01:06
1610187182,0,c0:98:e5:42:01:06
1610187187,1,c0:98:e5:42:01:06
1610187193,0,c0:98:e5:42:01:06
1610187197,1,c0:98:e5:42:01:06
1610187200,0,c0:98:e5:42:01:06
1610187228,1,c0:98:e5:42:01:06
1610187238,0,c0:98:e5:42:01:06
1610187239,1,c0:98:e5:42:01:06
1610187251,0,c0:98:e5:42:01:06
1610187256,1,c0:98:e5:42:01:06
1610187260,0,c0:98:e5:42:01:06
1610187265,1,c0:98:e5:42:01:06
1610187292,0,c0:98:e5:42:01:06
1610187294,1,c0:98:e5:42:01:06
1610187297,0,c0:98:e5:42:01:06
1610187300,1,c0:98:e5:42:01:06
1610187304,0,c0:98:e5:42:01:06
1610189127,1,c0:98:e5:42:01:06
1610189130,0,c0:98:e5:42:01:06
1610189153,1,c0:98:e5:42:01:06
1610189156,0,c0:98:e5:42:01:06
1610189618,1,c0:98:e5:42:01:06
1610189622,0,c0:98:e5:42:01:06
1610189640,1,c0:98:e5:42:01:06
1610189643,0,c0:98:e5:42:01:06
1610189645,1,c0:98:e5:42:01:06
1610189648,0,c0:98:e5:42:01:06
1610189651,1,c0:98:e5:42:01:06
1610189659,0,c0:98:e5:42:01:06
1610189665,1,c0:98:e5:42:01:06
1610189668,0,c0:98:e5:42:01:06
1610189676,1,c0:98:e5:42:01:06
1610189680,0,c0:98:e5:42:01:06
1610189691,1,c0:98:e5:42:01:06
1610189696,0,c0:98:e5:42:01:06
1610189751,1,c0:98:e5:42:01:06
1610189754,0,c0:98:e5:42:01:06
1610189833,1,c0:98:e5:42:01:06
1610189842,0,c0:98:e5:42:01:06
1610190004,1,c0:98:e5:42:01:06
1610190006,0,c0:98:e5:42:01:06
1610190038,1,c0:98:e5:42:01:06
1610190042,0,c0:98:e5:42:01:06
1610190147,1,c0:98:e5:42:01:06
